SrcIP;DstIP;TCP SrcPort;TCP DstPort;UDP SrcPort; UDP DstPort;Proto;Type;Ver;Ciphersuite;List of extensions;SNI;Supported Groups;EC;ALPN;Signature Algorithms;Supported Versions;Time
47.246.2.232;192.168.3.28;443;64903;;;6;2;0x0303;0x1302;43,51;;;;;;0x0304;Jul 20, 2024 18:13:18.970843000 CEST
192.168.3.28;47.246.2.232;64905;443;;;6;1;0x0303;0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8,0xc009,0xc00a,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035;0,23,65281,10,11,5,13,51,45,43,21;global-orange-source.alibaba.com;0x001d,0x0017,0x0018;0;;0x0403,0x0804,0x0401,0x0503,0x0805,0x0501,0x0806,0x0601,0x0201;0x0304,0x0303,0x0302,0x0301;Jul 20, 2024 18:13:19.217710000 CEST
47.246.2.232;192.168.3.28;443;64905;;;6;2;0x0303;0x1302;43,51;;;;;;0x0304;Jul 20, 2024 18:13:19.288970000 CEST
192.168.3.28;47.246.131.180;64906;443;;;6;1;0x0303;0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8,0xc009,0xc00a,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035;0,23,65281,10,11,5,13,51,45,43,21;amdc.aliexpress.com;0x001d,0x0017,0x0018;0;;0x0403,0x0804,0x0401,0x0503,0x0805,0x0501,0x0806,0x0601,0x0201;0x0304,0x0303,0x0302,0x0301;Jul 20, 2024 18:13:19.327717000 CEST
192.168.3.28;47.246.2.232;64908;443;;;6;1;0x0303;0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8,0xc009,0xc00a,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035;0,23,65281,10,11,5,13,51,45,43,21;global-orange-source.alibaba.com;0x001d,0x0017,0x0018;0;;0x0403,0x0804,0x0401,0x0503,0x0805,0x0501,0x0806,0x0601,0x0201;0x0304,0x0303,0x0302,0x0301;Jul 20, 2024 18:13:19.519765000 CEST
47.246.2.232;192.168.3.28;443;64908;;;6;2;0x0303;0x1302;43,51;;;;;;0x0304;Jul 20, 2024 18:13:19.648418000 CEST
192.168.3.28;47.246.2.232;64911;443;;;6;1;0x0303;0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8,0xc009,0xc00a,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035;0,23,65281,10,11,5,13,51,45,43,21;global-orange-source.alibaba.com;0x001d,0x0017,0x0018;0;;0x0403,0x0804,0x0401,0x0503,0x0805,0x0501,0x0806,0x0601,0x0201;0x0304,0x0303,0x0302,0x0301;Jul 20, 2024 18:13:19.949022000 CEST
47.246.2.232;192.168.3.28;443;64911;;;6;2;0x0303;0x1302;43,51;;;;;;0x0304;Jul 20, 2024 18:13:20.013353000 CEST
192.168.3.28;47.246.2.232;64913;443;;;6;1;0x0303;0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8,0xc009,0xc00a,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035;0,23,65281,10,11,5,13,51,45,43,21;global-orange-source.alibaba.com;0x001d,0x0017,0x0018;0;;0x0403,0x0804,0x0401,0x0503,0x0805,0x0501,0x0806,0x0601,0x0201;0x0304,0x0303,0x0302,0x0301;Jul 20, 2024 18:13:20.260216000 CEST
47.246.2.232;192.168.3.28;443;64913;;;6;2;0x0303;0x1302;43,51;;;;;;0x0304;Jul 20, 2024 18:13:20.330290000 CEST
